Team,Points Per Game,Rushing Attempts per Game,Rushing Yards per Game,Rushing Touchdowns %,Yards per Rush Attempt,Rushing Play % (2023),Rushing Play % (2013),Rushing Play % (2003),Passing Attempts per Game,Passing Yards per Game,Passing Touchdown %,Yards per Pass Attempt,Passing Play % (2023),Passing Play % (2013),Passing Play % (2003),Win % (2023),Win % (2013),Win % (2003),Completion % (2023),Completion % (2013),Completion % (2003)
Detroit,27.4,29.0,134.3,0.4928,4.6,0.4345,0.4038,0.3836,35.9,259.7,0.4928,7.6,0.5655,0.5962,0.6164,0.7,0.438,0.313,0.6764,0.5852,0.5425
Washington,19.4,21.1,93.6,0.359,4.4,0.3387,0.4092,0.4238,37.4,219.1,0.6154,6.6,0.6613,0.5908,0.5762,0.235,0.188,0.313,0.6399,0.581,0.5379
Tampa Bay,21.2,25.4,90.4,0.186,3.6,0.4107,0.4281,0.4064,33.9,233.6,0.7907,7.3,0.5893,0.5719,0.5936,0.526,0.25,0.438,0.6388,0.5661,0.6233
Baltimore,27.7,31.5,156.4,0.4667,5.0,0.4992,0.3881,0.5338,29.1,211.2,0.5,7.8,0.5008,0.6119,0.4662,0.737,0.5,0.588,0.6582,0.5864,0.5243
Minnesota,20.2,23.1,91.4,0.1795,4.0,0.3669,0.4176,0.4664,37.1,256.4,0.7692,7.4,0.6331,0.5824,0.5336,0.412,0.333,0.563,0.6719,0.5952,0.6404
Buffalo,26.6,30.8,135.4,0.4098,4.4,0.4647,0.4892,0.4357,34.1,238.4,0.541,7.2,0.5353,0.5108,0.5643,0.632,0.375,0.375,0.6667,0.5728,0.5837
San Francisco,28.6,29.4,138.3,0.4571,4.7,0.4792,0.5223,0.4793,30.0,258.0,0.5286,9.0,0.5208,0.4777,0.5207,0.7,0.737,0.438,0.6717,0.5768,0.5851
Green Bay,23.8,26.4,114.9,0.2453,4.4,0.4298,0.4317,0.507,33.5,233.4,0.6981,7.4,0.5702,0.5683,0.493,0.526,0.5,0.611,0.6462,0.6426,0.65
Cincinnati,21.5,22.5,89.8,0.2927,4.0,0.3655,0.4303,0.4619,36.2,229.1,0.6585,6.9,0.6345,0.5697,0.5381,0.529,0.647,0.5,0.6829,0.616,0.6238
New Orleans,23.6,28.2,102.5,0.2955,3.6,0.4282,0.3722,0.4387,35.6,234.7,0.6364,7.0,0.5718,0.6278,0.5613,0.529,0.667,0.5,0.67,0.6768,0.5869
